Model,Base Price,Dest. Charge,Tax Credit,Effective Price
2023 Audi e-tron GT quattro 20-inch,"$104,900 ","$1,495 ",N/A,"$106,395 "
2023 Audi RS e-tron GT quattro 20-inch,"$143,900 ","$1,495 ",N/A,"$145,395 "
2024 Audi Q8 e-tron 20-inch,"$74,400 ","$1,195 ",N/A,"$75,595 "
2024 Audi Q8 e-tron Sportback (Ultra pack) 19-inch,"$77,800 ","$1,195 ",N/A,"$78,995 "
2024 Audi Q8 e-tron Sportback 20-inch,"$77,800 ","$1,195 ",N/A,"$78,995 "
2023 Audi Q4 40 e-tron 19-inch,"$49,800 ","$1,195 ",N/A,"$50,995 "
2023 Audi Q4 50 e-tron quattro 19-inch,"$55,200 ","$1,195 ",N/A,"$56,395 "
2023 Audi Q4 Sportback 50 e-tron quattro 20-inch,"$58,200 ","$1,195 ",N/A,"$59,395 "
2023 BMW i4 eDrive35 18-inch,"$52,000 ",$995 ,N/A,"$52,995 "
2023 BMW i4 eDrive35 19-inch,"$52,600 ",$995 ,N/A,"$53,595 "
2023 BMW i4 eDrive40 18-inch,"$57,100 ",$995 ,N/A,"$58,095 "
2023 BMW i4 eDrive40 19-inch,"$57,700 ",$995 ,N/A,"$58,695 "
2023 BMW i4 M50 19-inch,"$68,700 ",$995 ,N/A,"$69,695 "
2023 BMW i4 M50 20-inch,"$71,200 ",$995 ,N/A,"$72,195 "
2023 BMW i7 xDrive60 19-inch,"$119,300 ",$995 ,N/A,"$120,295 "
2023 BMW i7 xDrive60 20-inch,"$119,300 ",$995 ,N/A,"$120,295 "
2023 BMW i7 xDrive60 21-inch,"$120,600 ",$995 ,N/A,"$121,595 "
2023 BMW iX xDrive50 20-inch,"$84,100 ",$995 ,N/A,"$85,095 "
2023 BMW iX xDrive50 21-inch,"$85,050 ",$995 ,N/A,"$86,045 "
2023 BMW iX xDrive50 22-inch,"$86,000 ",$995 ,N/A,"$86,995 "
2023 BMW iX M60 21-inch,"$108,900 ",$995 ,N/A,"$109,895 "
2023 BMW iX M60 22-inch,"$109,750 ",$995 ,N/A,"$110,745 "
2024 Cadillac Lyriq Tech RWD 20-inch,"$57,195 ","$1,395 ","$7,500 ","$51,090 "
2024 Cadillac Lyriq Tech AWD 20-inch,"$60,695 ","$1,395 ","$7,500 ","$54,590 "
2023 Chevrolet Bolt EV 1LT 17-inch,"$26,500 ",$995 ,"$7,500 ","$19,995 "
2023 Chevrolet Bolt EUV LT 17-inch,"$27,800 ",$995 ,"$7,500 ","$21,295 "
2023 Ford F-150 Lightning Pro SR 18-inch,"$59,974 ","$1,895 ","$7,500 ","$54,369 "
2023 Ford F-150 Lightning Pro ER (fleets) 18-inch,,,,
2023 Ford F-150 Lightning XLT SR 18-inch,"$64,474 ","$1,895 ","$7,500 ","$58,869 "
2023 Ford F-150 Lightning XLT ER 20-inch,"$78,874 ","$1,895 ","$7,500 ","$73,269 "
2023 Ford F-150 Lightning Lariat SR 20-inch,"$76,974 ","$1,895 ","$7,500 ","$71,369 "
2023 Ford F-150 Lightning Lariat ER 20-inch,"$85,974 ","$1,895 ",N/A,"$87,869 "
2023 Ford F-150 Lightning Platinum ER 22-inch,"$98,074 ","$1,895 ",N/A,"$99,969 "
2023 Ford Mustang Mach-E Select SR LFP RWD 18-inch,"$42,995 ","$1,800 ","$3,750 ","$41,045 "
2023 Ford Mustang Mach-E Select SR LFP AWD 18-inch,"$45,995 ","$1,800 ","$3,750 ","$44,045 "
2023 Ford Mustang Mach-E Premium SR LFP RWD 19-inch,"$46,995 ","$1,800 ","$3,750 ","$45,045 "
2023 Ford Mustang Mach-E Premium SR LFP AWD 19-inch,"$49,995 ","$1,800 ","$3,750 ","$48,045 "
2023 Ford Mustang Mach-E Premium ER RWD 19-inch,"$53,995 ","$1,800 ","$3,750 ","$52,045 "
2023 Ford Mustang Mach-E Premium ER AWD 19-inch,"$56,995 ","$1,800 ","$3,750 ","$55,045 "
2023 Ford Mustang Mach-E Route 1 ER AWD 18-inch,"$56,995 ","$1,800 ","$3,750 ","$55,045 "
2023 Ford Mustang Mach-E GT ER AWD 20-inch,"$59,995 ","$1,800 ","$3,750 ","$58,045 "
2023 Ford Mustang Mach-E GT Perf. ER AWD 20-inch,"$64,995 ","$1,800 ","$3,750 ","$63,045 "
2023 Genesis Electrified G80 AWD 19-inch,"$79,825 ","$1,095 ",N/A,"$80,920 "
2023 Genesis GV60 Advanced AWD 20-inch,"$59,290 ","$1,125 ",N/A,"$60,415 "
2023 Genesis GV60 Performance AWD 21-inch,"$68,290 ","$1,125 ",N/A,"$69,415 "
2023 Genesis Electrified GV70 Advanced AWD 20-inch,"$65,850 ","$1,125 ",N/A,"$66,975 "
2022 GMC Hummer EV Pickup (Edition 1) 22-inch,"$108,700 ","$1,595 ",N/A,"$110,295 "
2023 GMC Hummer EV Pickup (3X) 22-inch,"$104,650*","$1,595 ",N/A,"$106,245 "
2024 GMC Hummer EV Pickup (2X),"$94,650*","$1,595 ",N/A,"$96,245 "
2024 GMC Hummer EV Pickup (2),"$84,650*","$1,595 ",N/A,"$86,245 "
2024 GMC Hummer EV SUV (Edition 1) 22-inch,"$104,000 ","$1,595 ",N/A,"$105,595 "
2024 GMC Hummer EV SUV (3X) 22-inch,"$104,650*","$1,595 ",N/A,"$106,245 "
2024 GMC Hummer EV SUV (2X),"$94,650*","$1,595 ",N/A,"$96,245 "
2024 GMC Hummer EV SUV (2),"$84,650*","$1,595 ",N/A,"$86,245 "
2023 Hyundai Ioniq 5 SE SR RWD 19-inch,"$41,450 ","$1,335 ",N/A,"$42,785 "
2023 Hyundai Ioniq 5 SE RWD 19-inch,"$45,500 ","$1,335 ",N/A,"$46,835 "
2023 Hyundai Ioniq 5 SE AWD 19-inch,"$49,000 ","$1,335 ",N/A,"$50,335 "
2023 Hyundai Ioniq 5 SEL RWD 19-inch,"$47,450 ","$1,335 ",N/A,"$48,785 "
2023 Hyundai Ioniq 5 SEL AWD 19-inch,"$50,950 ","$1,335 ",N/A,"$52,285 "
2022 Hyundai Ioniq 5 Limited RWD 19-inch,"$52,600 ","$1,335 ",N/A,"$53,935 "
2022 Hyundai Ioniq 5 Limited AWD 20-inch,"$56,500 ","$1,335 ",N/A,"$57,835 "
2023 Hyundai Ioniq 6 SE RWD Standard Range 18-inch,"$41,600 ","$1,115 ",N/A,"$42,715 "
2023 Hyundai Ioniq 6 SE RWD Long Range 18-inch,"$45,500 ","$1,115 ",N/A,"$46,615 "
2023 Hyundai Ioniq 6 SE AWD Long Range 18-inch,"$49,000 ","$1,115 ",N/A,"$50,115 "
2023 Hyundai Ioniq 6 SEL RWD 20-inch,"$47,700 ","$1,115 ",N/A,"$48,815 "
2023 Hyundai Ioniq 6 SEL AWD 20-inch,"$51,200 ","$1,115 ",N/A,"$52,315 "
2023 Hyundai Ioniq 6 Limited RWD 20-inch,"$52,600 ","$1,115 ",N/A,"$53,715 "
2023 Hyundai Ioniq 6 Limited AWD 20-inch,"$56,100 ","$1,115 ",N/A,"$57,215 "
2023 Hyundai Kona Electric 17-inch,"$33,550 ","$1,335 ",N/A,"$34,885 "
2023 Jaguar I-PACE EV400 20-inch,"$71,300 ","$1,275 ",N/A,"$72,575 "
2023 Jaguar I-PACE EV400 22-inch,"$72,700 ","$1,275 ",N/A,"$73,975 "
2023 Kia EV6 RWD SR 19-inch,"$42,600*","$1,325 ",N/A,"$43,925 "
2023 Kia EV6 Wind RWD LR 19-inch,"$48,700 ","$1,325 ",N/A,"$50,025 "
2023 Kia EV6 Wind AWD LR 19-inch,"$52,600 ","$1,325 ",N/A,"$53,925 "
2023 Kia EV6 GT-Line RWD LR 19-inch,"$52,900 ","$1,325 ",N/A,"$54,225 "
2023 Kia EV6 GT-Line AWD LR 20-inch,"$57,600 ","$1,325 ",N/A,"$58,925 "
2023 Kia EV6 GT AWD LR 21-inch,"$61,600 ","$1,325 ",N/A,"$62,925 "
2023 Kia Niro EV 17-inch,"$39,550 ","$1,325 ",N/A,"$40,875 "
2023 Lexus RZ 450e Premium AWD 18-inch,"$58,500 ","$1,150 ",N/A,"$59,650 "
2023 Lexus RZ 450e Premium AWD 20-inch,"$59,740 ","$1,150 ",N/A,"$60,890 "
2023 Lexus RZ 450e Luxury AWD 20-inch,"$64,000 ","$1,150 ",N/A,"$65,150 "
2023 Lordstown Endurance 20-inch,,,N/A,
2023 Lucid Air Pure RWD 19-inch (later availability),"$87,400 ","$1,725 ",N/A,"$89,125 "
2023 Lucid Air Pure RWD 20-inch (later availability),"$89,400 ","$1,725 ",N/A,"$91,125 "
2023 Lucid Air Pure AWD 19-inch,"$92,900 ","$1,725 ",N/A,"$94,625 "
2023 Lucid Air Pure AWD 20-inch,"$94,900 ","$1,725 ",N/A,"$96,625 "
2023 Lucid Air Touring AWD 19-inch,"$107,400 ","$1,725 ",N/A,"$109,125 "
2023 Lucid Air Touring AWD 20-inch,"$107,400 ","$1,725 ",N/A,"$109,125 "
2023 Lucid Air Touring AWD 21-inch,"$109,400 ","$1,725 ",N/A,"$111,125 "
2023 Lucid Air Grand Touring AWD 19-inch,"$138,000 ","$1,725 ",N/A,"$139,725 "
2023 Lucid Air Grand Touring AWD 20-inch,"$138,000 ","$1,725 ",N/A,"$139,725 "
2023 Lucid Air Grand Touring AWD 21-inch,"$140,000 ","$1,725 ",N/A,"$141,725 "
2023 Lucid Air Grand Touring Performance 21-inch,"$179,000 ","$1,725 ",N/A,"$180,725 "
2023 Lucid Air Sapphire 20-inch (F) 21-inch (R),"$249,000 ","$1,725 ",N/A,"$250,725 "
2023 Mazda MX-30 18-inch,"$34,110 ","$1,375 ",N/A,"$35,485 "
2023 Mercedes EQB 250+ 18-inch,"$52,750 ","$1,150 ",N/A,"$53,900 "
2023 Mercedes EQB 300 4Matic 18-inch,"$56,900 ","$1,150 ",N/A,"$58,050 "
2023 Mercedes EQB 350 4Matic 19-inch,"$60,550 ","$1,150 ",N/A,"$61,700 "
2023 Mercedes EQE 350+ 19-inch,"$74,900 ","$1,150 ",N/A,"$76,050 "
2023 Mercedes EQE 350 4Matic 19-inch,"$77,900 ","$1,150 ",N/A,"$79,050 "
2023 Mercedes EQE 500 4Matic 19-inch,"$85,900 ","$1,150 ",N/A,"$87,050 "
2023 Mercedes AMG EQE 20-inch,"$106,900 ","$1,150 ",N/A,"$108,050 "
2023 Mercedes EQE 350+ SUV 19-inch,"$77,900 ","$1,150 ",N/A,"$79,050 "
2023 Mercedes EQE 350 4Matic SUV 19-inch,"$77,900 ","$1,150 ",N/A,"$79,050 "
2023 Mercedes EQE 500 4Matic SUV 19-inch,"$89,500 ","$1,150 ",N/A,"$90,650 "
2023 Mercedes EQS 450+ (RWD; 20-inch),"$104,400 ","$1,150 ",N/A,"$105,550 "
2023 Mercedes EQS 450 4Matic (AWD; 20-inch),"$107,400 ","$1,150 ",N/A,"$108,550 "
2023 Mercedes EQS 580 4Matic (AWD; 21-inch),"$125,950 ","$1,150 ",N/A,"$127,100 "
2023 Mercedes AMG EQS 4Matic+ (AWD; 21-inch),"$147,550 ","$1,150 ",N/A,"$148,700 "
2023 Mercedes EQS 450+ SUV (RWD; 20-inch),"$104,400 ","$1,150 ",N/A,"$105,550 "
2023 Mercedes EQS 450 4Matic SUV (AWD; 20-inch),"$107,400 ","$1,150 ",N/A,"$108,550 "
2023 Mercedes EQS 580 4Matic SUV (AWD; 21-inch),"$125,950 ","$1,150 ",N/A,"$127,100 "
2024 MINI Cooper SE Hardtop 2 door 16-inch,"$30,900 ",$995 ,N/A,"$31,895 "
2023 Nissan Ariya Engage FWD (63 kWh) 19-inch,"$43,190 ","$1,335 ",N/A,"$44,525 "
2023 Nissan Ariya Engage e-4ORCE AWD (63 kWh) 19-inch,"$47,190 ","$1,335 ",N/A,"$48,525 "
2023 Nissan Ariya Venture+ FWD (87 kWh) 19-inch,"$47,190 ","$1,335 ",N/A,"$48,525 "
2023 Nissan Ariya Evolve+ FWD (87 kWh) 19-inch,"$50,190 ","$1,335 ",N/A,"$51,525 "
2023 Nissan Ariya Empower+ FWD (87 kWh) 19-inch,"$53,690 ","$1,335 ",N/A,"$55,025 "
2023 Nissan Ariya Premiere FWD 19-inch (limited),"$53,450 ","$1,335 ",N/A,"$54,785 "
2023 Nissan Ariya Engage+ e-4ORCE AWD 19-inch,"$51,190 ","$1,335 ",N/A,"$52,525 "
2023 Nissan Ariya Evolve+ e-4ORCE AWD 19-inch,"$54,190 ","$1,335 ",N/A,"$55,525 "
2023 Nissan Ariya Platinum+ e-4ORCE AWD 19-inch,"$60,190 ","$1,335 ",N/A,"$61,525 "
2023 Nissan Ariya Platinum+ e-4ORCE AWD 20-inch,"$60,190 ","$1,335 ",N/A,"$61,525 "
2023 Nissan Leaf S (40 kWh) 16-inch,"$28,040 ","$1,095 ",N/A,"$29,135 "
2023 Nissan Leaf e+ SV Plus (60 kWh) 17-inch,"$36,040 ","$1,095 ",N/A,"$37,135 "
2023 Polestar 2 Single Motor 19-inch,"$48,400 ","$1,400 ",N/A,"$49,800 "
2023 Polestar 2 Dual Motor 19-inch,"$51,900 ","$1,400 ",N/A,"$53,300 "
2023 Polestar 2 Dual Motor Perf Pack 20-inch,"$57,400 ","$1,400 ",N/A,"$58,800 "
2023 Polestar 2 Dual Motor BST edition 270 21-inch,"$75,500 ","$1,400 ",N/A,"$76,900 "
2023 Polestar 2 Dual Motor BST edition 230 21-inch,"$80,900 ","$1,400 ",N/A,"$82,300 "
2023 Porsche Taycan (79 kWh) 19-inch,"$90,900 ","$1,650 ",N/A,"$92,550 "
2023 Porsche Taycan (93 kWh) 19-inch,"$96,680 ","$1,650 ",N/A,"$98,330 "
2023 Porsche Taycan 4S (79 kWh) 19-inch,"$111,700 ","$1,650 ",N/A,"$113,350 "
2023 Porsche Taycan 4S (93 kWh) 19-inch,"$117,270 ","$1,650 ",N/A,"$118,920 "
2023 Porsche Taycan GTS (93 kWh) 20-inch,"$139,300 ","$1,650 ",N/A,"$140,950 "
2023 Porsche Taycan GTS Sport Turismo (93 kWh) 20-inch,"$141,200 ","$1,650 ",N/A,"$142,850 "
2023 Porsche Taycan Turbo (93 kWh) 20-inch,"$160,800 ","$1,650 ",N/A,"$162,450 "
2023 Porsche Taycan Turbo S (93 kWh) 21-inch,"$194,900 ","$1,650 ",N/A,"$196,550 "
2023 Porsche Taycan 4 Cross Turismo (93 kWh) 19-inch,"$101,900 ","$1,650 ",N/A,"$103,550 "
2023 Porsche Taycan 4S Cross Turismo (93 kWh) 19-inch,"$118,200 ","$1,650 ",N/A,"$119,850 "
2023 Porsche Taycan Turbo Cross Turismo (93 kWh) 20-inch,"$163,400 ","$1,650 ",N/A,"$165,050 "
2023 Porsche Taycan Turbo S Cross Turismo (93 kWh) 20-inch,"$197,500 ","$1,650 ",N/A,"$199,150 "
"2023 Rivian R1S DM AWD, Std Pack, 21-inch","$78,000 ","$1,800 ","$3,750 ","$76,050 "
"2023 Rivian R1S DM AWD, Std Pack, 22-inch","$80,500 ","$1,800 ",N/A,"$82,300 "
"2023 Rivian R1S DM AWD, Large Pack, AT 20-inch","$87,600 ","$1,800 ",N/A,"$89,400 "
"2023 Rivian R1S DM AWD, Large Pack, 21-inch","$84,000 ","$1,800 ",N/A,"$85,800 "
"2023 Rivian R1S DM AWD, Large Pack, 22-inch","$86,500 ","$1,800 ",N/A,"$88,300 "
"2023 Rivian R1S DM AWD, Max Pack, AT 20-inch",,,N/A,
"2023 Rivian R1S DM AWD, Max Pack, 21-inch",,,N/A,
"2023 Rivian R1S DM AWD, Max Pack, 22-inch",,,N/A,
"2023 Rivian R1S Perf. DM AWD, Large Pack, AT 20-inch","$92,600 ","$1,800 ",N/A,"$94,400 "
"2023 Rivian R1S Perf. DM AWD, Large Pack, 21-inch","$89,000 ","$1,800 ",N/A,"$90,800 "
"2023 Rivian R1S Perf. DM AWD, Large Pack, 22-inch","$91,500 ","$1,800 ",N/A,"$93,300 "
"2023 Rivian R1S Perf. DM AWD, Max Pack, AT 20-inch",,,N/A,
"2023 Rivian R1S Perf. DM AWD, Max Pack, 21-inch",,,N/A,
"2023 Rivian R1S Perf. DM AWD, Max Pack, 22-inch",,,N/A,
"2023 Rivian R1S QM AWD, Large Pack, AT 20-inch","$95,600 ","$1,800 ",N/A,"$97,400 "
"2023 Rivian R1S QM AWD, Large Pack, 21-inch","$92,000 ","$1,800 ",N/A,"$93,800 "
"2023 Rivian R1S QM AWD, Large Pack, 22-inch","$94,500 ","$1,800 ",N/A,"$96,300 "
"2023 Rivian R1T DM AWD, Std Pack, 21-inch","$73,000 ","$1,800 ","$3,750 ","$71,050 "
"2023 Rivian R1T DM AWD, Std Pack, 22-inch","$75,500 ","$1,800 ","$3,750 ","$73,550 "
"2023 Rivian R1T DM AWD, Large Pack, AT 20-inch","$81,500 ","$1,800 ",N/A,"$83,300 "
"2023 Rivian R1T DM AWD, Large Pack, 21-inch","$79,000 ","$1,800 ","$3,750 ","$77,050 "
"2023 Rivian R1T DM AWD, Large Pack, 22-inch","$82,850 ","$1,800 ",N/A,"$84,650 "
"2023 Rivian R1T DM AWD, Max Pack, AT 20-inch","$92,850 ","$1,800 ",N/A,"$94,650 "
"2023 Rivian R1T DM AWD, Max Pack, 21-inch","$89,000 ","$1,800 ",N/A,"$90,800 "
"2023 Rivian R1T DM AWD, Max Pack, 22-inch","$91,500 ","$1,800 ",N/A,"$93,300 "
"2023 Rivian R1T Perf. DM AWD, Large Pack, AT 20-inch","$87,850 ","$1,800 ",N/A,"$89,650 "
"2023 Rivian R1T Perf. DM AWD, Large Pack, 21-inch","$84,000 ","$1,800 ",N/A,"$85,800 "
"2023 Rivian R1T Perf. DM AWD, Large Pack, 22-inch","$86,500 ","$1,800 ",N/A,"$88,300 "
"2023 Rivian R1T Perf. DM AWD, Max Pack, AT 20-inch","$97,850 ","$1,800 ",N/A,"$99,650 "
"2023 Rivian R1T Perf. DM AWD, Max Pack, 21-inch","$94,000 ","$1,800 ",N/A,"$95,800 "
"2023 Rivian R1T Perf. DM AWD, Max Pack, 22-inch","$96,500 ","$1,800 ",N/A,"$98,300 "
